Celltype	nFrag	scE2G	BPNet	NMF_label	Plot_label	HexColorCode	CellGroupingOrder	CelltypeOrder	Order	New_Name	CelltypeColor	CardiacCellType	ConsiderForCellTypeEnrichment	CellTypeEnrichmentGrouping	CellEnrichmentGroupingColor	ConsiderForVariantOverlapping	Include_in_UMAP_main	Include_in_UMAP_Supp
Immune_T_cell_2	8692346	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	2	89	T_cells_2	#000080	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_T_cell_3	4548391	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	3	90	T_cells_3	#4169E1	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_T_cell_4	2542383	FALSE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	4	91	T_cells_4	#00FF00	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_NK_cell	3955625	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	5	92	NK_cells	#228B22	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_B_cell	3243008	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	6	93	B_cells	#96DED1	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_T_cell_cellcycle_2	12978043	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	7	94	T_cells_cell_cycling_2	#dccd10	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_T_cell_cellcycle_1	26125464	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	8	95	T_cells_cell_cycling_1	#FFFF00	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_monocyte_1	33053821	TRUE	TRUE	ImmuneCells	MyeloidCells	#4682B4	13	1	96	Macrophages_1	#A67202	TRUE	TRUE	Macrophages	#D2042D	TRUE	TRUE	TRUE
Immune_monocyte_2	6730029	TRUE	TRUE	ImmuneCells	MyeloidCells	#4682B4	13	2	97	Macrophages_2	#DFB9EE	TRUE	TRUE	Macrophages	#D2042D	TRUE	TRUE	TRUE
Macrophage	4545714	TRUE	TRUE	ImmuneCells	MyeloidCells	#4682B4	13	3	98	Macrophages_3	#CA2C92	TRUE	TRUE	Macrophages	#D2042D	TRUE	TRUE	TRUE
Immune_monocyte_cellcycle	3417212	TRUE	FALSE	ImmuneCells	MyeloidCells	#4682B4	13	4	99	Macrophages_cell_cycling	#B666D2	FALSE	FALSE			FALSE	TRUE	TRUE
Immune_mast_cell	3670556	TRUE	FALSE	ImmuneCells	MyeloidCells	#4682B4	13	5	100	Mast_cells	#813695	FALSE	FALSE			FALSE	TRUE	TRUE
SchwannCells_precursors	15973841	FALSE	FALSE	NC	NonCardiacCells	#999999	14	1	101	Lung_epithelium		FALSE	FALSE			FALSE	FALSE	TRUE
SchwannCells_premyelinating_1	9121080	FALSE	FALSE	NC	NonCardiacCells	#999999	14	2	102	Lung_epithelium		FALSE	FALSE			FALSE	FALSE	TRUE
SchwannCells_premyelinating_2	7542585	FALSE	FALSE	NC	NonCardiacCells	#999999	14	3	103	Lung_epithelium		FALSE	FALSE			FALSE	FALSE	TRUE
SchwannCells_premyelinating_3	5916101	FALSE	FALSE	NC	NonCardiacCells	#999999	14	4	104	Lung_epithelium		FALSE	FALSE			FALSE	FALSE	TRUE
CNC_PAA	40940800	FALSE	FALSE	NC	NonCardiacCells	#999999	14	5	105	Thymic_epithelium		FALSE	FALSE			FALSE	FALSE	TRUE
Endothelial_LiverSinusoidalEC	626425	FALSE	FALSE	Endocardial_endothelial	NonCardiacCells	#999999	14	6	106	Liver_sinusoidal_endothelial_cells		FALSE	FALSE			FALSE	FALSE	TRUE
Endothelial_VeinEC_pulmonary	2191815	FALSE	FALSE	Endocardial_endothelial	NonCardiacCells	#999999	14	7	107	Pulmonary_endothelial_cells	#FFCDA2	FALSE	FALSE			FALSE	FALSE	TRUE
