Gene	Trait	Category
ANKRD1	DilatedCardiomyopathy	CardiovascularDisease
BAG3	DilatedCardiomyopathy	CardiovascularDisease
BAG5	DilatedCardiomyopathy	CardiovascularDisease
CAP2	DilatedCardiomyopathy	CardiovascularDisease
CRYAB	DilatedCardiomyopathy	CardiovascularDisease
CSRP3	DilatedCardiomyopathy	CardiovascularDisease
DES	DilatedCardiomyopathy	CardiovascularDisease
DMD	DilatedCardiomyopathy	CardiovascularDisease
DSG2	DilatedCardiomyopathy	CardiovascularDisease
DSP	DilatedCardiomyopathy	CardiovascularDisease
EYA4	DilatedCardiomyopathy	CardiovascularDisease
FKTN	DilatedCardiomyopathy	CardiovascularDisease
FLII	DilatedCardiomyopathy	CardiovascularDisease
GATAD1	DilatedCardiomyopathy	CardiovascularDisease
GET3	DilatedCardiomyopathy	CardiovascularDisease
JPH2	DilatedCardiomyopathy	CardiovascularDisease
LAMA4	DilatedCardiomyopathy	CardiovascularDisease
LDB3	DilatedCardiomyopathy	CardiovascularDisease
LMNA	DilatedCardiomyopathy	CardiovascularDisease
LMOD2	DilatedCardiomyopathy	CardiovascularDisease
MYBPC3	DilatedCardiomyopathy	CardiovascularDisease
MYH6	DilatedCardiomyopathy	CardiovascularDisease
MYH7	DilatedCardiomyopathy	CardiovascularDisease
MYPN	DilatedCardiomyopathy	CardiovascularDisease
NEXN	DilatedCardiomyopathy	CardiovascularDisease
PLN	DilatedCardiomyopathy	CardiovascularDisease
PPCS	DilatedCardiomyopathy	CardiovascularDisease
PSEN1	DilatedCardiomyopathy	CardiovascularDisease
PSEN2	DilatedCardiomyopathy	CardiovascularDisease
RAF1	DilatedCardiomyopathy	CardiovascularDisease
RBM20	DilatedCardiomyopathy	CardiovascularDisease
RNF220	DilatedCardiomyopathy	CardiovascularDisease
RPL3L	DilatedCardiomyopathy	CardiovascularDisease
RRAGD	DilatedCardiomyopathy	CardiovascularDisease
SCN5A	DilatedCardiomyopathy	CardiovascularDisease
SDHA	DilatedCardiomyopathy	CardiovascularDisease
SGCD	DilatedCardiomyopathy	CardiovascularDisease
TAFAZZIN	DilatedCardiomyopathy	CardiovascularDisease
TCAP	DilatedCardiomyopathy	CardiovascularDisease
TMPO	DilatedCardiomyopathy	CardiovascularDisease
TNNC1	DilatedCardiomyopathy	CardiovascularDisease
TNNI3	DilatedCardiomyopathy	CardiovascularDisease
TNNT2	DilatedCardiomyopathy	CardiovascularDisease
TPM1	DilatedCardiomyopathy	CardiovascularDisease
TTN	DilatedCardiomyopathy	CardiovascularDisease
VCL	DilatedCardiomyopathy	CardiovascularDisease
VEZF1	DilatedCardiomyopathy	CardiovascularDisease
ACTC1	HypertrophicCardiomyopathy	CardiovascularDisease
ACTN2	HypertrophicCardiomyopathy	CardiovascularDisease
ALPK3	HypertrophicCardiomyopathy	CardiovascularDisease
CAV3	HypertrophicCardiomyopathy	CardiovascularDisease
COQ9	HypertrophicCardiomyopathy	CardiovascularDisease
CORIN	HypertrophicCardiomyopathy	CardiovascularDisease
CSRP3	HypertrophicCardiomyopathy	CardiovascularDisease
FHOD3	HypertrophicCardiomyopathy	CardiovascularDisease
FLNC	HypertrophicCardiomyopathy	CardiovascularDisease
FNIP1	HypertrophicCardiomyopathy	CardiovascularDisease
JPH2	HypertrophicCardiomyopathy	CardiovascularDisease
KLHL24	HypertrophicCardiomyopathy	CardiovascularDisease
MRPL44	HypertrophicCardiomyopathy	CardiovascularDisease
MTO1	HypertrophicCardiomyopathy	CardiovascularDisease
MYBPC3	HypertrophicCardiomyopathy	CardiovascularDisease
MYH6	HypertrophicCardiomyopathy	CardiovascularDisease
MYH7	HypertrophicCardiomyopathy	CardiovascularDisease
MYL2	HypertrophicCardiomyopathy	CardiovascularDisease
MYL3	HypertrophicCardiomyopathy	CardiovascularDisease
MYLK2	HypertrophicCardiomyopathy	CardiovascularDisease
MYOZ2	HypertrophicCardiomyopathy	CardiovascularDisease
NEXN	HypertrophicCardiomyopathy	CardiovascularDisease
PLN	HypertrophicCardiomyopathy	CardiovascularDisease
PRKAG2	HypertrophicCardiomyopathy	CardiovascularDisease
TCAP	HypertrophicCardiomyopathy	CardiovascularDisease
TNNC1	HypertrophicCardiomyopathy	CardiovascularDisease
TNNI3	HypertrophicCardiomyopathy	CardiovascularDisease
TNNT2	HypertrophicCardiomyopathy	CardiovascularDisease
TPM1	HypertrophicCardiomyopathy	CardiovascularDisease
TTN	HypertrophicCardiomyopathy	CardiovascularDisease
VCL	HypertrophicCardiomyopathy	CardiovascularDisease
CHD7	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KMT2D	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PTPN11	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GATA6	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RBFOX2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NSD1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
POGZ	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SOS1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GPBAR1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RAF1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NOTCH1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KDM5B	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SMAD2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PTEN	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RPL5	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CYP21A2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
MYRF	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ACTB	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RIT1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ELN	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SAMD11	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CTNNB1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NAA15	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PYGL	PCGC_DeNovoVariants	PCGC_DeNovoVariants
AKAP12	PCGC_DeNovoVariants	PCGC_DeNovoVariants
MYH6	PCGC_DeNovoVariants	PCGC_DeNovoVariants
LZTR1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
FLT4	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RABGAP1L	PCGC_DeNovoVariants	PCGC_DeNovoVariants
BRAF	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DGUOK	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ITSN2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
AHNAK	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KRT13	PCGC_DeNovoVariants	PCGC_DeNovoVariants
TBX5	PCGC_DeNovoVariants	PCGC_DeNovoVariants
U2SURP	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ZEB2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NGFR	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CDK13	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DTNA	PCGC_DeNovoVariants	PCGC_DeNovoVariants
MINK1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PRRC2B	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NR6A1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CHD4	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DSCAML1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
FRYL	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PPL	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ANK3	PCGC_DeNovoVariants	PCGC_DeNovoVariants
WASHC5	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CAD	PCGC_DeNovoVariants	PCGC_DeNovoVariants
FBN1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KDM5A	PCGC_DeNovoVariants	PCGC_DeNovoVariants
TSC1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GANAB	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CLUH	PCGC_DeNovoVariants	PCGC_DeNovoVariants
JAG1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CACNA1A	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NSD2	PCGC_DeNovoVariants	PCGC_DeNovoVariants
MYO7B	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SCN10A	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NALCN	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RYR3	PCGC_DeNovoVariants	PCGC_DeNovoVariants
FBN3	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KMT2A	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KMT2C	PCGC_DeNovoVariants	PCGC_DeNovoVariants
LRP1	PCGC_DeNovoVariants	PCGC_DeNovoVariants
