Gene	Trait	n_genes	category
RPL3L	DilatedCardiomyopathy	77	CD
RRAGD	DilatedCardiomyopathy	77	CD
SCN5A	DilatedCardiomyopathy	77	CD
SDHA	DilatedCardiomyopathy	77	CD
SGCD	DilatedCardiomyopathy	77	CD
TAFAZZIN	DilatedCardiomyopathy	77	CD
TCAP	DilatedCardiomyopathy	77	CD
TMPO	DilatedCardiomyopathy	77	CD
TNNC1	DilatedCardiomyopathy	77	CD
TNNI3	DilatedCardiomyopathy	77	CD
TNNT2	DilatedCardiomyopathy	77	CD
TPM1	DilatedCardiomyopathy	77	CD
TTN	DilatedCardiomyopathy	77	CD
VCL	DilatedCardiomyopathy	77	CD
VEZF1	DilatedCardiomyopathy	77	CD
ACTC1	HypertrophicCardiomyopathy	77	CD
ACTN2	HypertrophicCardiomyopathy	77	CD
ALPK3	HypertrophicCardiomyopathy	77	CD
CAV3	HypertrophicCardiomyopathy	77	CD
COQ9	HypertrophicCardiomyopathy	77	CD
CORIN	HypertrophicCardiomyopathy	77	CD
CSRP3	HypertrophicCardiomyopathy	77	CD
FHOD3	HypertrophicCardiomyopathy	77	CD
FLNC	HypertrophicCardiomyopathy	77	CD
FNIP1	HypertrophicCardiomyopathy	77	CD
JPH2	HypertrophicCardiomyopathy	77	CD
KLHL24	HypertrophicCardiomyopathy	77	CD
MRPL44	HypertrophicCardiomyopathy	77	CD
MTO1	HypertrophicCardiomyopathy	77	CD
MYBPC3	HypertrophicCardiomyopathy	77	CD
MYH6	HypertrophicCardiomyopathy	77	CD
MYH7	HypertrophicCardiomyopathy	77	CD
MYL2	HypertrophicCardiomyopathy	77	CD
MYL3	HypertrophicCardiomyopathy	77	CD
MYLK2	HypertrophicCardiomyopathy	77	CD
MYOZ2	HypertrophicCardiomyopathy	77	CD
NEXN	HypertrophicCardiomyopathy	77	CD
PLN	HypertrophicCardiomyopathy	77	CD
PRKAG2	HypertrophicCardiomyopathy	77	CD
TCAP	HypertrophicCardiomyopathy	77	CD
TNNC1	HypertrophicCardiomyopathy	77	CD
TNNI3	HypertrophicCardiomyopathy	77	CD
TNNT2	HypertrophicCardiomyopathy	77	CD
TPM1	HypertrophicCardiomyopathy	77	CD
TTN	HypertrophicCardiomyopathy	77	CD
VCL	HypertrophicCardiomyopathy	77	CD
CHD7	DeNovoCodingVariants	66	DeNovoCodingVariants
KMT2D	DeNovoCodingVariants	66	DeNovoCodingVariants
PTPN11	DeNovoCodingVariants	66	DeNovoCodingVariants
GATA6	DeNovoCodingVariants	66	DeNovoCodingVariants
RBFOX2	DeNovoCodingVariants	66	DeNovoCodingVariants
NSD1	DeNovoCodingVariants	66	DeNovoCodingVariants
POGZ	DeNovoCodingVariants	66	DeNovoCodingVariants
SOS1	DeNovoCodingVariants	66	DeNovoCodingVariants
GPBAR1	DeNovoCodingVariants	66	DeNovoCodingVariants
RAF1	DeNovoCodingVariants	66	DeNovoCodingVariants
NOTCH1	DeNovoCodingVariants	66	DeNovoCodingVariants
